RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2587.7639104080727,2601.3174825924234,2620.9896312938963,2647.4170080249705,2670.139931629252,2691.0912815125766,2702.808038967721,2714.020631617989,2720.4008197960893,2718.8050879163065,2705.843588944215,2690.3403441888595,2682.0236982063525,2684.5992852706177,2694.275582330047,2707.3960591584673,2722.800276154628,2738.715977112595,2754.7324240544167,2762.7898318255784,2763.7544980166754,2753.8182536958566,2740.8904941989713,2721.3385617173885,2712.9051311710355,2712.0148017719157,2724.9566730405627,2741.7770460450606,2763.0708518658507,2782.8412546921018,2796.1053146694767,2800.391086259618,2791.8968465973753,2771.438635532518,2746.015233966378,2727.480640698425,2724.4919428132002,2732.7204094218955,2750.649814753877,2774.0328015035307,2797.8186077592613,2819.4715688133174,2834.8206835713727,2845.2508288275276,2846.785788891825,2834.302710548262,2817.0847637941197,2800.4444743258073,2797.0440117542894,2806.343348725913,2824.6883297198606,2848.4896747467087,2875.0601730660774,2901.8896773709134,2922.5516073160084,2934.9378058635784,2937.4091925009798,2931.3141362286274,2913.845373846149,2900.4721450680154,2897.0544615498825,2914.9959700595746,2929.1232773636934,2919.424860260452,2890.541539195246,2850.0555926488746,2809.426716296739,,,2605.12406849934,2557.9858446042817,2533.3053125818096,2523.6509753453474,2538.2765654770665,2566.711538149687,2608.5113579679996,2666.6361853912176,2739.59940926103,2822.2346539120667,2897.59580849949,2958.2955846764858,2994.130050543349,3021.444265089999,3041.047054640014,3069.5785848030855,3105.7106040780664,3151.694128391433,3200.632121675146,3261.0810152691874,3323.4099225003965,3378.435754930785,3409.748653986603,3414.624208082617,3394.4930736525416,3356.5432454209927,3326.634927456513,3319.505623205641,3331.082944434584,3354.6060490694776,3389.7996288829063,3432.5123808118365,3475.272198407358,3504.530899416107,3516.1802017680316,3512.1781566748864,3489.7595583124817,3452.2982368456874,3424.207022557298,3418.6609817526746,3441.8186503574043,3479.7797119478964,3521.5995295929984,3566.2180244610477,3602.4082902764976,3623.3105511245562,3626.2559315842273,3610.1472529742146,3588.0094701522703
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1832.0859938665276,1846.8866311527684,1863.3827377951648,1875.836226012208,1897.2939785350138,1908.4361457621305,1923.609950687256,1931.7454937895966,1950.7084681031731,1962.2720170504047,1965.9998170496422,1969.0060547488965,1981.3416496962311,2002.7715956335505,2021.3158518854996,2029.314969838188,2048.4183285136323,2064.748704664818,2079.072387999099,2075.6948180467434,2074.6347709641254,2079.4182760733743,2082.973451543444,2089.598025546272,2104.444833816736,2119.9558750324463,2144.47491734287,2155.207159893277,2171.865707400795,2180.547459769618,2193.602220192827,2201.683632253849,2202.67926050534,2207.5823201038024,2213.140745334172,2222.004644336044,2233.4077287247733,2247.7760416489186,2256.982684387667,2263.651642161851,2270.001185002038,2286.41660516236,2300.7550424495776,2314.549022423107,2319.7861214543764,2322.302984892731,2323.993283154288,2328.2409541531556,2334.2864254001515,2336.009106305789,2348.4591005003626,2359.867281176201,2374.6022391440965,2385.826434959144,2396.276998005401,2404.8819529730395,2407.191655139635,2406.408009700955,2403.4782343912043,2405.110946123881,2407.176406130276,2414.3119414922776,2411.501517597303,2399.669675599836,2382.9142663682624,2372.6902694693367,2369.5894988576424,2363.8530083212795,2351.1449529706724,2339.5524581096865,2332.681370432477,2328.537940984201,2332.0925566933297,2332.982172609746,2341.469143117812,2349.171559280057,2369.331265492896,2401.31204953012,2443.5531262470836,2492.0662777106795,2529.473453847288,2552.9817819189057,2567.150728788954,2586.60415240924,2608.4679201951103,2632.552458111668,2649.6069182820297,2673.3313879317143,2697.392046844953,2722.3385076867626,2744.44164531445,2761.395701664628,2772.6758272095503,2767.571350533883,2758.5712263980736,2750.6734795908437,2750.8983883082988,2756.000486533929,2768.0650398160437,2778.0650827469594,2782.8930104197034,2782.3515122208655,2783.0554146696877,2789.5399620020194,2791.840007097127,2786.472561351259,2771.067090364768,2759.131140678895,2764.8351848255465,2773.061229101921,2790.2189994927103,2798.116175157097,2813.341665997697,2823.4740378653146,2835.6249804137074,2841.185911159065,2845.166081444342,2841.9047756451096
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1204.6799557436798,1207.8496414116546,1212.698482532709,1222.1734056692571,1232.5737043317438,1241.3569768811076,1242.027062340137,1243.159999825198,1240.212890189334,1237.8303520612328,1235.1558388671015,1232.9521609333644,1233.5443683553317,1234.0220812060936,1240.8899854065178,1247.1998168641737,1250.6239557764031,1250.93008201636,1249.527724118728,1247.3135550940194,1242.1618081202603,1240.0309855876953,1236.2208945098441,1234.1953522961605,1233.5347979374221,1240.572812759446,1248.6033616311818,1252.2230241656039,1259.4433134742321,1260.2264183822983,1260.171447284924,1253.675414988682,1260.1951966631182,1269.729801445482,1283.428791332032,1292.4443523606055,1295.2043381554959,1300.9576668248187,1299.776670164417,1307.4054308470286,1309.3969278417196,1315.6227429598118,1314.8961727678882,1312.72650100629,1307.9881924416918,1309.8771390716358,1312.3951786256705,1313.0314560408026,1312.1619345543331,1308.8355068111205,1314.7165629627557,1319.0537943368329,1328.7100681815934,1335.5921003607903,1339.5385739576,1340.374154343396,1336.3309530729896,1334.9046654522024,1332.9088212943695,1336.487076602211,1338.7770834211171,1345.5474285623059,1351.48131721527,1347.3169226543769,1339.5242442848394,1330.020398486093,1332.893206449001,1335.0224908373107,1333.9151262531043,1334.4631178634115,1334.6918484747919,1332.9178974231788,1332.6518740270244,1332.7746423964084,1340.882300819869,1353.1905793635563,1373.5959533336681,1402.0251430767194,1428.0934055774317,1450.5668301381925,1464.0317033734648,1470.3492274514442,1474.6158072206833,1474.55601553848,1481.1778173329342,1490.1972779551104,1501.7051512991966,1511.7971892149726,1523.2894327865197,1537.792099821067,1548.7729170687733,1553.2488723550855,1551.5735500796168,1545.8239973618781,1540.6162662670506,1539.4076272461946,1545.242345929416,1554.0246826015753,1564.1305062966503,1568.3973098986626,1576.2354928600914,1583.0506613723987,1590.1403538716186,1589.7396667875564,1585.4580604182584,1580.7891228360386,1578.9278267342017,1579.860773670779,1583.6495541880486,1587.833028930323,1589.9349784393141,1596.2449498177268,1604.6829509840525,1614.2051227192974,1618.1225965191895,1620.9131160212776,1622.1451591037637,1622.0903952906763
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1490.2281556502628,1499.17998838372,1509.9421730674185,1520.4416680586144,1533.7638369953988,1546.3413157895775,1552.2525903611743,1554.9756134637237,1548.3656417129912,1539.6122201068204,1529.5476135903527,1528.5862165474114,1539.558630243765,1552.9583426084168,1566.6569456913176,1573.7963241827385,1581.6552178180948,1592.1444490905942,1600.4609078071205,1605.1982097135221,1596.2009664472794,1582.1313106526125,1565.1687697094212,1558.1441787860708,1565.5315012444228,1584.2030044993073,1605.3720533428204,1620.0702605036606,1632.002715489384,1638.488431371905,1641.005099503766,1634.4207574271015,1625.279207121253,1610.5385648711772,1600.2324869089716,1596.8015582519806,1605.4967258271327,1620.4004225511078,1634.6629558051386,1647.3675162537356,1658.5459540871498,1669.2413054254837,1674.5900414014036,1671.2288817750123,1656.531023569657,1640.8085527350083,1629.401084016777,1630.82597334551,1642.5111099927503,1656.2473097120705,1674.3947611101473,1687.9927345105657,1701.6549817921778,1709.513630941234,1714.3317227504274,1715.8451267857931,1709.3102898736827,1700.5076377466976,1689.7836743436421,1684.487019945105,1693.1004913686934,1707.538022778395,1723.6693650250165,1724.5731560857305,1721.8348697687911,1716.9296499442214,1713.1015662159311,1700.8132046547555,1676.6909716392704,1641.8608904698185,1611.4500730952554,1598.361103302205,1600.0892214710386,1616.8203152215349,1639.449947643509,1672.32822351271,1703.7045940342946,1732.0176513384383,1750.2824338946407,1761.5700344612098,1763.3217780329928,1759.9250941082491,1755.5884488743795,1760.713664142275,1776.5955110518253,1795.9911264541622,1820.1091428815143,1845.707636328879,1873.5422170984818,1894.6245493232393,1910.5988684982512,1916.6139115320416,1914.9523857991342,1907.8190736108777,1901.6324618840622,1900.579976415861,1910.0678411183628,1925.766590271396,1946.1188037883915,1965.6881303854836,1989.445808084911,2010.5258434739385,2022.1401144264141,2025.8154892134016,2015.1001755886264,2000.557175133208,1984.9949677601219,1986.4552047220302,1998.9290923014707,2021.5074521651866,2041.024737274619,2065.813531549222,2085.337894748397,2103.8618980893584,2110.319761286804,2106.8249008865973,2098.3577570955954,2089.81813272222
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1011.8695729427367,1015.3739214502201,1022.1974470412323,1030.691652865469,1040.3437869259444,1048.292705245666,1049.8975044929223,1047.9988537836846,1047.0983821832276,1051.7885852519646,1053.5470470831074,1054.6296049124046,1054.8188622811826,1058.7496897012036,1064.1795242704281,1072.556733580501,1079.1960212205092,1084.6693617391318,1086.5576749351019,1090.1901962989796,1091.945919540139,1090.2430978446148,1090.7251229536407,1088.9781571685328,1094.4355938457009,1098.7988338985708,1107.2575853046349,1113.3273593160427,1118.3934024019507,1126.494492935291,1129.8077865914224,1129.107774621915,1125.400402337408,1122.133284328537,1120.0607263569534,1118.9488023752926,1120.191615052062,1124.862038893464,1131.6885518553554,1137.1929773777563,1142.6051603196177,1148.1433647958663,1155.4904151566705,1161.5685765791538,1161.8937291181815,1161.3307042233298,1159.0941826387168,1157.3890442771522,1157.908244415125,1161.361182547933,1168.8558959745878,1175.7732050500142,1181.0165396183581,1186.6690286448777,1192.093296052136,1201.708507412857,1204.3112576866238,1203.3179454800922,1193.8784474611086,1191.4754927871013,1191.4508945860816,1198.7373359035657,1203.118771113991,1204.338592868948,1201.3687379227968,1202.2073164562773,1208.762433510293,1214.612994991026,1217.7336503467595,1216.6654046479055,1217.0106593367843,1219.1815894609815,1221.2246841144222,1224.977841714426,1232.1790839404591,1247.5537459328043,1265.4073103006276,1287.1031662694706,1311.8552982919023,1339.15007708392,1359.2067619165994,1370.7101723198323,1375.926929166299,1381.5715146036348,1386.9647018002418,1397.8714531878318,1411.5020149268523,1425.6019140592743,1439.4207300616777,1449.5641132230294,1462.1033340988045,1464.1813290993075,1461.763732673347,1449.7011814609943,1441.2511170790765,1437.925221091989,1444.6299535955695,1449.8317284713364,1460.5867229263456,1463.1801730258414,1468.844776560629,1464.8723721476774,1463.2001226112548,1458.9641577750863,1453.359365809093,1445.1399916386677,1440.8705550193888,1440.0828897762647,1441.342915765765,1443.4680883044027,1449.6102436425756,1457.7964350590387,1462.353817786588,1462.6744240360592,1462.8673170396598,1460.5216663156534,1454.3040216602049,1439.2184458811432
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1175.1326400328269,1184.521862512095,1203.0680161824034,1209.6062149551076,1216.3103473827482,1218.5754501931099,1222.5741869698784,1221.5838691343372,1218.3046809092136,1216.7433220788341,1212.5708043048253,1210.0556667671121,1208.6838469633258,1220.8204033028003,1234.0891549411936,1246.1476277405905,1251.7092130514432,1257.2496420401485,1257.9832893654348,1257.61887018012,1253.6798491205402,1250.3819398276746,1254.1753356278055,1253.3783659701148,1258.6309206708402,1264.3359275809223,1278.3995012534438,1288.4373382803976,1292.2181464249509,1293.2340048438195,1293.2490468446229,1292.0198102096988,1290.3918217423875,1288.0196840560802,1286.979796581119,1289.4848397220708,1294.07577270707,1303.257389852701,1316.1813171168158,1326.4737186899904,1335.377027242346,1336.6488074160354,1334.2933535241064,1332.8213658136415,1331.5046310950495,1336.030080000174,1341.7607411218296,1340.5492401664512,1345.3098389270676,1351.019447565636,1367.1919605669536,1375.3281536192674,1380.5633972268727,1386.6982819555953,1390.9676955228945,1390.6307881520147,1386.4239742860082,1386.1155576306285,1384.8294311426832,1387.331841557948,1390.4281807068621,1400.5801336785476,1409.4047814368473,1412.700743358932,1412.2732202186517,1412.180503402744,1414.404773905192,1411.7655444386678,1406.3506753842341,1399.7587473341464,1397.6228485657941,1398.4897543603095,1403.0622259044364,1408.3375255526212,1415.7156499488412,1428.8465068285905,1447.476674671372,1463.0971122968501,1476.6411465528552,1488.3462666650262,1489.8995367315226,1497.493454086936,1504.9163726798272,1523.8582840196407,1533.1653883059173,1539.811389682858,1548.9065789521928,1561.2166382090331,1576.2673010019037,1588.5357718875541,1594.9455297677994,1596.6018691305212,1595.2512166220997,1590.6556145373193,1589.394469690276,1585.6936140770972,1591.2747016563426,1594.6578841282192,1605.8774324948163,1614.5315368327529,1622.7693812232005,1625.9024792885048,1628.524465554047,1630.3139377061673,1633.9309033872942,1637.7296020701065,1640.6948670367194,1639.6420956944814,1643.1674084856286,1649.1815377243681,1660.8769646223002,1667.2808956934798,1674.2437326275444,1678.231668869246,1682.7618539281502,1687.878086274528,1690.51223460471,1692.870591225363
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,848.2126362003313,860.1525189669798,868.0346629955268,877.0271394179933,880.5833633457286,887.8012455541959,891.3662989339293,894.1758301721004,898.5646104392645,900.8159037109158,903.0683446821007,901.2938070559461,908.790734364164,914.4380291435788,924.3989456003034,931.8091073273939,941.4813120813536,949.320992735118,951.3528200037109,951.1956152822154,951.8660596383161,952.447567970749,954.2123536698499,953.8494195301994,959.8706999232758,969.2291768680345,981.8675469770609,993.9244973959746,1005.2897340919204,1012.3734570117863,1015.2869326459685,1015.6300863553097,1015.231461204593,1017.1898708606666,1018.2013461236378,1020.3172774326732,1024.082994060319,1030.8157785779467,1044.5771806662008,1057.352252158037,1069.5750265913598,1077.5974721134144,1085.306520895101,1091.3717581667224,1098.9091188662856,1104.8253166126112,1108.7902630666279,1111.517023899159,1113.8955688801962,1124.4218005014916,1134.6941563584464,1149.249711566012,1158.8726506209937,1171.026397249577,1178.223550095243,1184.2968538128837,1186.069083406548,1188.4626425544825,1195.0088074037453,1204.9798814454098,1213.6877204907823,1221.8295578169818,1226.887540426225,1229.7449063748797,1231.8343663241105,1236.4394398614836,1247.4748348444473,1260.7397669960083,1271.5429291613627,1280.5300431284656,1285.5533478395769,1296.5289322646463,1307.1103655016045,1320.8148390781614,1340.2365746976009,1370.8405839763802,1411.3291414338114,1451.7267384546144,,1537.8907812080618,1571.4287592208018,1588.5552402677602,1599.0696829948536,1609.539829900787,1620.4652279900306,1632.8708288986563,1645.6743662505532,1657.8696845966374,1668.9256820177484,1677.0447345059424,1684.5883757514025,1684.672346885389,1677.7153900973508,1668.9309490049877,1663.18109899964,1662.2156729406463,1656.8323574026854,1657.866917794681,1667.1240029854032,1677.9426076986874,1686.504328987592,1684.9641125442802,1685.4542973421126,1678.603990713758,1676.296826183684,1670.8368709496935,1663.3576147856695,1655.2723189058706,1654.069059737499,1665.8096750152963,1678.1908030668314,1690.2013796967553,1697.388985834168,1698.7546087232827,1699.821576283742,1696.4381574439694,1693.8735310340744,1686.7881643477012
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,974.9626995369704,980.3679949008463,985.6442578531143,992.849191202469,999.0773889234855,1005.5137914489017,1011.5979819558589,1014.3987667037443,1018.7986407170978,1018.3940521208312,1019.5515110587061,1017.7389903057398,1020.2037613803208,1023.5566254285393,1028.1795121986618,1033.6640637361131,1040.5438565380855,1050.3292885382716,1055.388321019781,1059.0661443327638,1059.305419554724,1062.0491629117912,1062.2428872865357,1062.2925317202446,1065.6682964347958,1073.7364501522743,1085.2535249817759,1094.074909831794,1101.6684476917185,1109.217018940871,1116.5679481422849,1122.4854804788106,1125.8781187874379,1127.138603357384,1129.1688784936184,1132.5888186421264,1137.019383723858,1144.433145663791,1153.915529487615,1167.984415604278,1180.0356100130218,1189.2433636511328,1198.3682337411956,1204.3389681763078,1209.6282206736175,1210.4761174166845,1212.84903945231,1214.637377339142,1219.4449923503664,1224.4258509188367,1236.3448485621761,1246.5538495896228,1258.741098961263,1266.25750423011,1273.596948918251,1279.5124539624758,1280.7448411477853,1282.1508342988916,1281.0370538969232,1279.9453706919198,1279.9285149379832,1286.542533820787,1294.8604799115267,1290.9858365940654,1286.1955962203851,1287.4739885523913,1304.4644939498007,1321.068743567831,1337.8969537744251,1350.3397788528491,1359.5109428606186,1364.8576764265156,1374.3876611666703,1387.5405131029484,1405.0137942529311,1417.7904691724023,1454.8493020871601,1505.1377222903307,1568.496764020206,1619.1146130709749,1656.3165618156722,1679.5025663679703,1687.1789443440339,1688.8661571165753,1693.190950949203,1699.4509626983045,1707.492688542544,1718.1985649746061,1730.9667471762052,1746.724114730862,1761.0374722600945,1754.283759900323,1737.2390197667482,1711.1419338469254,1695.4764963026294,1683.6386889062178,1682.3122639553192,1687.0428640685911,1699.5554239214769,1705.8309968579672,1715.506114146814,1718.7205564018232,1726.889339434584,1724.7997308568101,1721.0654112035893,1720.8787438742233,1720.077525119132,1718.4509079370478,1714.163028676161,1712.921162144184,1723.7284757001864,1736.2253494579636,1755.3438988440441,1767.14621282132,1769.540800476356,1770.6941199255625,1765.944111649249,1763.7341895508514
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1706.3981115314857,1720.1004932424532,1729.6305909751125,1732.6440124335238,1746.3518247298973,1751.3199994183817,1770.5446205474914,1783.4044200941944,1794.846714400633,1799.2926230456223,1800.0011608446903,1807.4692692707108,1815.2784180569006,1820.510813776641,1829.4640675220535,1833.7017646148036,1845.9507593462693,1862.9126886158087,1878.5883463179089,1888.225918698798,1888.2848086737479,1893.9629334548736,1894.5666433302276,1898.3334472804424,1899.748650625584,1917.9789628644605,1935.5860341455852,1955.8030009602228,1969.2291068814384,1983.8135480562933,2000.748977795593,2008.8640376967728,2011.0922422115789,2006.1608109705835,2005.9726767790864,2007.7802700137615,2018.7767683172376,2032.0335370456153,2047.6289846372365,2057.9025371677994,2074.850811200532,2084.76258596822,2099.3356116682467,2106.743143674908,2113.9067774717487,2114.4661436378124,2107.1733838346568,2113.183337285676,2116.601551534968,2125.5002450885872,2129.4266112461764,2140.3753731314523,2153.2043931794547,2165.240035208219,2177.433133701867,2187.3662383664705,2189.8027549658027,2188.6619118534286,2186.792072915126,2195.0478306835653,2201.0555060737697,2207.5308539058556,2206.500721028044,2194.9646251810204,2186.4295992356247,2181.4044754334923,2191.131355834047,2196.513918314635,2205.266652361666,2218.406742077253,2233.5120388257665,2242.9344019098094,2253.855700180093,2263.1012063727103,2284.278765105415,2309.931903680059,2349.9815618971106,2387.644895219551,2441.2549727038827,2495.7244027793226,2558.8210461773465,2596.3546355411218,2621.9101715269835,2634.764127283429,2649.5729904285854,2677.2123169782303,2711.048935803454,2759.387100617581,2802.3451928715513,2849.0279823558685,2883.75434077496,2915.760440177312,2922.5988690340478,2914.5918204546574,2890.610725641132,2877.3075216456314,2873.7671005050934,2884.2224933646266,2910.3065213199397,2937.2629394595806,2972.4210568178814,2995.778719323558,3017.006462654594,3019.023792889744,3013.002560199854,2997.7909142940957,2976.4991628498665,2956.482737151974,2943.75235100018,2955.0523307154663,2977.899526559442,3006.0687243897155,3024.5407113523447,3040.138577867385,3053.632344864763,3057.124833689486,3055.9613666312157,3049.7876378677133
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1051.5857186079056,1053.62130811677,1063.254470507988,1075.6536409982446,1091.0401396288632,1101.590325697035,1112.7450242325567,1116.5393166064196,1118.3600719160788,1121.1648734528833,1128.9525873792052,1134.0013007826772,1134.0009739296552,1135.2269987683012,1139.8400760603367,1152.7236178877038,1160.490805325227,1171.1756328865524,1174.0873024850782,1177.8720226237663,1179.8507538782837,1188.4594527403135,1193.859213280067,1198.2213203442668,1200.569611822857,1202.1162302895689,1216.4596542067864,1225.9690918356775,1240.0981633958438,1241.3488762479349,1245.3707396146465,1243.6549422639864,1242.8159858715592,1238.4967466752876,1246.7922890970804,1249.45251368264,1254.9808681750405,1263.0321686697418,1266.364791604837,1269.6375851919533,1268.229646253829,1282.1054330275622,1288.839754558902,1291.752123219209,1282.1516418160654,1284.0527960224078,1283.0729914869637,1286.3841947748442,1292.0641914354856,1297.6804257752112,1309.037537603499,1315.5640062181217,1323.2162415561158,1335.5270497180984,1338.7788403757825,1343.1074094801527,1341.4920137201834,1338.3850683984092,1331.5997408490825,1320.5026483768108,1324.9219032362507,1331.9480121227407,1341.3634676897016,1337.7866725305946,1333.3079289831048,1330.555048445589,1332.31955613401,1334.2498911732293,1336.098869906337,1336.270451182244,1334.542354059776,1333.9441322976097,1335.9650499564268,1345.0928536812987,1353.3676521575828,1372.2153812712907,1395.7757977353285,1430.2407070773274,1463.9713853773646,1492.467608886394,1513.1799871777707,1524.6681015935296,1534.7207903888923,1544.5189824045854,1555.7442693894939,1572.4305634721277,1581.8023498597827,1604.342607789986,1625.4492791762884,1663.031336756479,1683.4413130654323,1692.1260924985568,1686.6583563997985,1668.1155082017297,1657.0918539392064,1643.2513477434463,1642.5075801871237,1641.787206078731,1649.8763730024023,1657.4627180066918,1666.107310905317,1670.5696097942218,1675.6103188735547,1676.6236420699843,1674.914018521959,1669.1371977921935,1658.6299777647464,1650.3830828401874,1646.2834419999517,1644.772948425797,1641.8297187001922,1639.1354427440224,1646.4331351287005,1659.4370534049353,1671.63354955321,1678.3564899839223,1672.308264726693,1664.9877804600812
